sha,mop instr,mop project,mop monitoring,mop lock,mop violation,mop other,ps1c instr,ps1c project,ps1c monitoring,ps1c lock,ps1c violation,ps1c other,ps3cl instr,ps3cl project,ps3cl monitoring,ps3cl lock,ps3cl violation,ps3cl other,mopCache instr,mopCache project,mopCache monitoring,mopCache lock,mopCache violation,mopCache other,storeHashesThreads instr,storeHashesThreads project,storeHashesThreads monitoring,storeHashesThreads lock,storeHashesThreads violation,storeHashesThreads other
b18e01a9920fdbcb4fbf1725c0908851a0a3e7fc,18172,339,103,24,0,332,18418,346,99,20,0,345,19073,341,85,19,0,352,20888,424,114,20,0,370,16,350,119,21,0,207
e40032eda81cc22dc4f63b18044c7515b849960d,19351,355,116,11,0,360,12437,360,107,16,0,331,179,284,20,3,0,137,586,344,106,22,0,218,10,360,133,27,0,203
03d5a5c6f4d9a1b7ee18b4efe9797492fd55949e,19430,379,117,23,0,357,12409,361,88,14,0,311,532,287,20,1,0,171,618,366,118,17,1,231,13,360,131,27,1,221
2234330f7e9f24b4efd2beba6ce2743114497bc7,18686,362,109,15,1,341,12829,355,96,18,0,325,551,298,23,2,0,162,764,375,119,24,2,238,14,346,136,22,1,208
c7d7332a53ea0620118dec480ff6dc77be988640,18380,382,103,21,0,339,13004,400,108,15,0,336,310,314,20,2,0,166,629,409,128,16,0,226,11,372,127,19,1,202
181cadbba3efe8573a2263a7d6cd60c140077491,18320,310,102,10,0,383,12820,369,91,15,0,350,325,315,20,1,0,151,619,362,111,18,2,220,10,399,137,23,1,205
9c0f946c2a3da7014c3ac6926bb19d73d0158041,17821,368,101,15,1,348,13031,377,103,20,0,339,253,293,19,1,0,176,659,346,123,25,0,234,12,404,119,27,0,196
bf2b195189bf2f47cf7a777e77e74b8f53bced43,18422,364,102,14,0,355,13296,402,115,14,0,352,305,290,20,2,0,162,591,384,141,29,0,242,10,375,139,18,0,214
c894b5366ccfaed194e158d3cd13f8635b00e085,18802,347,90,14,0,354,12692,340,92,18,0,337,349,274,19,1,0,159,620,383,125,30,0,238,10,381,112,24,0,205
6b72db7f24f1c530a837734094fd01d2b8f679a1,19031,366,108,18,0,360,12598,383,121,22,0,330,352,303,29,2,0,148,690,375,110,25,0,225,8,358,131,26,0,207
215eb26362e48c6839593fb8a723763178731bb9,18905,345,101,18,0,377,13237,401,83,21,0,306,581,289,18,1,0,167,584,386,134,21,0,222,8,354,124,23,1,221
ec43692567bf4dc297cefc79ea903e403afa0e31,18347,371,104,17,0,354,13400,358,94,22,0,336,250,288,19,1,0,149,601,381,121,27,0,227,10,383,128,23,1,208
b233dbb777fb03bfcaf3677001f5fda27288c5f0,18186,343,120,16,0,363,13066,375,99,29,0,333,272,302,19,0,0,152,620,356,118,25,1,224,15,376,133,20,1,208
7e36a361b38614ab202a5c4d7490750e1bb1d65a,19263,374,103,20,0,362,12595,376,99,16,0,337,396,296,23,1,0,169,708,373,110,29,0,225,11,388,125,25,0,218
a879c181168edb010a1075d507072ab068da3b98,19386,383,113,21,0,369,12161,309,105,12,0,351,272,292,26,2,0,166,602,395,113,21,0,227,15,366,118,27,1,202
818e789b26bc27956cfbf48766d2eb421d9d897c,19355,367,118,20,0,326,12523,331,101,14,0,327,251,275,26,1,0,131,643,412,111,27,0,226,9,390,116,25,2,196
74c78652dfefbc2596c925827c1015e51a51e003,19019,366,107,27,0,343,12733,372,94,9,2,342,253,261,19,2,0,162,688,391,120,19,0,240,15,381,117,14,0,229
bdc5223611c99b8d326b928084d62b42df466f68,18921,365,117,17,2,326,12914,401,93,12,0,344,314,287,19,4,0,150,609,385,113,29,1,242,8,411,116,22,0,213
2c5c2aa9de3e6fa15955def6b810927aa945f22d,18055,358,112,18,0,343,13382,378,88,21,0,304,355,281,19,0,0,149,656,392,115,26,0,229,9,378,125,23,0,215
6061a354c80e5fd4cf7293c67f5b0841f7d901b0,18015,353,112,22,0,359,12626,334,91,9,1,334,247,307,20,1,0,160,681,399,123,18,1,224,9,424,127,25,1,210
50c366800c72590b79fe175829954ae5f27a97d9,18509,375,106,17,1,359,12021,355,87,12,0,339,231,293,27,1,0,154,727,370,125,28,0,230,9,398,134,24,0,228
542c228b74a846ad33a20a7271266b6794f23fd1,18385,347,96,20,0,330,15392,381,89,21,0,319,718,322,21,1,0,181,809,357,129,14,0,244,11,353,120,25,0,188
e59bc83ad94917ac576ebb3e47f942306a13798b,19842,387,108,25,0,348,15905,343,88,20,0,336,723,330,19,1,0,172,675,366,111,31,0,228,9,384,115,29,0,232
3b71b2e4c00c53256c6d0dde9c1a22aa0e0fb8c7,18277,387,108,13,0,325,13731,350,98,23,0,303,259,278,20,1,0,151,641,388,120,21,0,231,13,365,131,34,0,205
e72385684c4fa6fed9afbdf3a2ac4b0e8b4fc7dd,19079,383,119,14,0,327,14026,362,104,15,0,325,189,287,27,1,0,131,698,375,121,21,0,227,5,364,139,21,1,185
51e5a4f209ba9e3381d00d46a2b03d2b73343b2b,18693,370,101,13,0,369,14690,377,101,19,0,325,170,266,20,2,0,159,636,387,119,23,1,231,12,382,117,23,0,209
9d2e9b617b2e604cbce5822a4718a9571bc1fa42,18945,391,101,20,0,343,15472,339,100,16,1,302,679,286,29,0,0,186,711,394,120,23,0,219,13,386,148,24,0,206
7a2a6f389f602f8235f3ead022f2018f440dfe98,19294,380,98,17,0,370,14510,394,107,15,0,345,310,279,19,1,0,161,723,363,114,24,0,243,10,354,135,27,1,211
4cf1ec3996b9958ad803420e57ec2871f4fdc422,19419,379,117,17,0,371,14591,378,102,9,0,337,327,287,19,2,0,126,663,375,129,23,0,244,15,381,140,22,0,199
f52a0581929c88a570ccdb8d03cb5521ac8fb102,17551,369,105,16,1,328,14778,336,83,18,0,326,384,300,20,1,0,145,654,360,127,22,0,234,14,368,141,20,1,240
4ba8d44a5087e28f620a454065b0bbeca9072d85,18277,369,109,16,0,357,14941,360,91,23,0,359,713,313,24,0,0,169,720,363,131,31,0,243,12,387,142,18,0,213
76216853b384cb6b603e2b134948256861048d0e,18885,375,95,14,1,375,14777,372,93,13,0,298,230,287,19,0,0,162,711,385,116,16,0,224,9,383,109,27,0,183
715b07289d7b0d6d900a6de65f18634617968234,17961,357,97,13,1,323,14401,341,92,21,0,315,254,260,20,1,0,153,681,372,107,33,0,227,15,369,139,22,1,202
fe0fbc319ced29ac619548f4aa9c4390776914bc,18353,374,115,19,0,330,14811,347,113,21,1,311,250,282,19,2,0,155,631,375,106,25,1,234,10,379,126,23,0,231
479f6e2f3d73fc3511b0f95e6ea1f8100d3ee4e1,19459,360,103,14,0,351,14223,350,113,16,0,325,285,285,19,1,0,156,623,365,112,26,0,229,12,383,126,24,0,206
9fa9274a1f38b60cf5b967125614eccbf8cc7d3f,18837,346,112,20,0,377,14736,370,114,19,0,342,235,285,19,1,0,154,613,379,116,31,0,230,9,357,120,27,0,210
3c08278d113343cf3981a1d0cc4ad89cd79aa020,18555,368,111,15,1,345,14647,361,103,19,0,327,295,288,20,0,0,167,787,369,114,19,0,215,8,378,122,23,1,199
048709f76479b6c091341f083160401a1752db4f,18643,370,119,23,0,342,14412,342,101,23,0,320,265,304,23,0,0,153,669,388,123,21,0,216,13,408,145,18,1,212
eeca3fadc8ae9bd4a643c14ef26c234646ddc1f7,19687,377,94,21,0,395,346,289,18,0,0,155,139,272,19,2,0,147,728,367,127,26,0,225,9,371,136,29,0,196
af9af6febcdbf6f4aa253791557c8690ae057597,17945,321,101,24,0,387,14086,374,103,14,0,304,317,274,20,0,0,166,713,377,124,19,0,220,10,355,129,31,0,203
8bcc13d5882873038fcfc8f1b493bb732926971b,18752,347,111,22,0,343,13433,329,95,10,0,327,277,290,22,2,0,163,660,386,121,21,1,223,8,374,128,20,0,211
a7be0603aa7f9c1b830b49abf142a8c7660bc88b,18294,354,113,17,0,332,14825,364,101,21,0,340,300,287,20,1,0,142,644,371,135,28,0,212,14,384,136,19,0,220
e524bfc66d6400b2fb046d110b802e664112e312,19758,360,90,18,0,369,14552,361,94,14,0,326,379,298,27,1,0,140,731,390,124,25,0,228,15,353,154,25,0,225
752d5891073dea8da19d3dcae549aef0e84e29a7,19040,376,104,26,0,341,13786,340,86,14,0,324,253,292,19,0,0,156,701,381,114,34,0,239,8,395,102,25,0,229
419826f613542f0dabdd8e26ae13e79d3feb3282,19127,366,99,20,0,320,14273,344,87,13,0,316,289,311,19,2,0,166,666,392,118,27,0,236,11,371,124,27,0,206
79dfe704992fb90e4b40850a2af8ffde78d07334,19062,349,86,26,1,366,14776,347,101,21,0,369,669,292,21,13,0,176,805,377,119,21,0,254,15,380,112,35,1,218
faee35201780a55f2bb4554eb26877b640132b71,18982,377,120,17,0,347,14140,359,108,14,0,327,645,281,25,0,0,170,797,395,122,25,0,261,6,365,135,29,0,198
6bbd4896f68625778281e6a89793a95a2624a0a5,19456,375,116,25,0,381,14675,376,99,18,0,309,270,271,20,0,0,143,740,403,123,22,0,223,12,361,133,23,0,217
735a58c3fe4c4f3949cbbfe3223ed4a8c75c8b98,19072,400,106,20,0,368,14800,372,103,18,0,322,287,276,18,3,0,154,680,378,98,24,1,229,15,366,138,27,0,208
c3e65cf7766c09f0800f81920d2ada250e4846fb,19556,372,113,17,0,369,0,0,0,0,0,0,0,0,0,0,0,0,673,381,122,30,0,211,0,0,0,0,0,0
